titulo,datetime,duracao_min,genero_ano,sinopse,tem_imdb
Espelho de Carne,2025-04-24 02:20:00,110.0,Drama / 1985 / 5.3,"Para presentear sua esposa Helena, o jovem executivo Álvaro compra em leilão um espelho que pertencia a uma casa de encontros amorosos do início do século 20. Porém, o espelho começa a causar estranho fascínio nas pessoas que se veem refletidas nele, induzindo-as ao amor voraz.",True
Pornolândia,2025-04-24 04:10:00,15.0,Adults only,Márcia Dailyn fala sobre a sua trajetória até se tornar a primeira bailarina transexual do Theatro Municipal de São Paulo e destaca as dificuldades em ser uma artista no Brasil.,False
A Mulher do Meu Marido,2025-04-24 04:25:00,1535.0,Comedy / 2019,"Depois de alguns anos de casamento com Pedro, Joana descobre que está sendo traída, mas decide fingir que não sabe de nada para continuar a relação de maneira tranquila. Mas depois de descobrir que o caso extraconjugal de Pedro é com Pilar, ela começa a se relacionar com o marido da amante secreta.",True
Cinejornal,2025-04-25 06:00:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Esquinas - Pílulas,2025-04-25 06:15:00,15.0,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.,False
Os Paqueras,2025-04-25 06:30:00,95.0,Comedy / 1969,"Sombra e água fresca dão a tônica do cotidiano de Nonô. Aos 25 anos, o rapaz não leva os estudos a sério e só quer ir à praia e paquerar. Mas, quando menos espera, ele conhece a jovem Margareth, filha de seu parceiro na arte da sedução. A paixão pela moça vira a rotina do rapaz de cabeça para baixo.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 08:05:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Alceu - Na Embolada do Tempo,2025-04-25 08:10:00,90.0,Special,"Um panorama da carreira do artista Alceu Valença, por meio de performances ao vivo, comentadas pelo próprio e por terceiros, contextualizando sua obra singular na história cultural recente do Brasil.",False
Mutum,2025-04-25 09:40:00,90.0,Drama / 2007 / 7.1,"Na companhia do irmão, Thiago precisa enfrentar as lições de vida, violência e maturidade. Sua infância é lentamente deixada para trás, vivendo na mata escura e assustadora, mas também repleta de cumplicidade e brincadeiras.",True
Filhos de João - O Admirável Mundo Novo Baiano,2025-04-25 11:10:00,75.0,Documentary / 2009 / 7.6,"A trajetória dos Novos Baianos, grupo encabeçado por Pepeu Gomes, Baby do Brasil, Moraes Moreira, Luiz Galvão e Paulinho Boca de Cantor. Nos anos 1970, a banda ganhou um padrinho famoso e influente: João Gilberto.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 12:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Vãnh Gõ Tõ Laklãnõ,2025-04-25 12:30:00,30.0,Documentary / 2022,"O povo Laklãnõ era um povo arredio, bravo, que vivia no sul do Brasil. Perseguido pelo Estado, por bugreiros e colonizadores, dizimado por doenças e mudanças no seu modo de vida, foi praticamente extinto. O povo ficou restrito a uma reserva no Alto Vale do Itajaí. A arqueóloga Walderes Coctá Priprá mostra a resistência e reconstrói a história do povo, retratando o passado, a retomada da língua, o impacto da construção da Barragem Norte, a presença das igrejas evangélicas e o Marco Temporal.",True
Angeli - The Killer,2025-04-25 13:00:00,15.0,Temporada 2 Episódio 18 - Mucho Amigos,"Angeli revela acreditar nos encontros e que, a partir deles, a amizade profunda pode ser construída.",False
"Raoni, uma Amizade Improvável",2025-04-25 13:15:00,90.0,Documentary / 2023,"Homenagem à luta do cacique Raoni, no Brasil e no mundo, pela preservação dos territórios indígenas, de sua cultura e da Amazônia.",True
Favela do Papa,2025-04-25 14:45:00,80.0,Documentary / 2024,"Um capítulo crucial da história do Rio de Janeiro na década de 1970: a resistência dos moradores da Favela do Vidigal contra a ordem de remoção imposta pelo governo. A produção resgata imagens de época e entrevistas que revelam a luta intensa da comunidade, apoiada por diversas entidades e personalidades influentes. Essa resistência se insere em um contexto maior, expondo a política de remoção em grande escala praticada pelos governos estaduais brasileiros na década de 1960.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 16:05:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Chacrinha - Eu Vim para Confundir e Não para Explicar,2025-04-25 16:10:00,90.0,Documentary / 2021,"O legado de Chacrinha na TV e trechos de sua vida pessoal são revelados por meio de depoimentos e imagens de arquivo, que contam a história por trás das câmeras, os bastidores que consolidaram uma nova forma de comunicar o Brasil e as facetas de um homem que é dos personagens contemporâneos mais interessantes do cenário cultural nacional.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 17:40:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Maputo Nakuzandza,2025-04-25 17:45:00,75.0,Drama / 2022,"Na capital de Moçambique, jovens saem de uma festa e nos quintais senhoras iniciam o dia. Um homem corre, um turista passeia, um trabalhador apanha o transporte e a rádio Maputo Nakuzandza anuncia o desaparecimento de uma noiva.",True
"Carlota Joaquina, Princesa do Brazil",2025-04-25 19:00:00,100.0,Comedy drama / 1995,"Uma história satírica do Brasil no século 18, narrando as aventuras de uma mulher sensual que manca e tem um bigode.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 20:40:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Lavoura Arcaica,2025-04-25 20:45:00,170.0,Drama / 2001,"Na década de 1940, Pedro é incumbido por sua mãe de trazer André, seu irmão mais novo, de volta para casa. No entanto, o rapaz ainda tem duras lembranças dos motivos que o levaram a sair de casa: o pai rígido e repressor, a mãe que sufoca com sua ternura e a inveja de Pedro. A ausência prolongada de André também tem relação com sua irmã, Ana. O vínculo entre ambos não se limitou ao sentimento de afeto comum entre irmãos: André abalou os alicerces familiares ao se apaixonar pela própria irmã.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 23:35:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Amarelo Manga,2025-04-25 23:40:00,-1340.0,Drama / 2002,"Na cidade de Recife, pessoas mergulham em um universo feito de armadilhas e vinganças, de desejos irrealizáveis e da busca incessante da felicidade: um açougueiro que mantém uma amante apesar de louvar sua mulher evangélica; a fascinação de um necrófilo pela dona de um bar; e um homossexual que sonha em conquistar o açougueiro.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 01:20:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
A Freira e a Tortura,2025-04-25 01:25:00,90.0,Drama / 1983,"O delegado de polícia Rui é um homem casado e de bons princípios. Ele é encarregado de investigar o caso da professora Joana, acusada de crimes políticos. Porém ele logo se surpreende ao saber que ela é uma freira, mas isso não o impede de torturá-la e ser atraído sexualmente por ela.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 02:55:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
"Bar Esperança, o Último que Fecha",2025-04-25 03:00:00,120.0,Comedy / 1983,"As frustrações, amarguras e alegrias de artistas, intelectuais, boêmios e anônimos nas mesas do Bar Esperança no bairro de Ipanema, Rio de Janeiro. Ana vive com o marido Zeca um casamento cheio de altos e baixos. Atriz e mãe de dois filhos, ela trabalha na televisão: é a personagem mais odiada de uma novela de sucesso. Zeca, escritor e autor de teatro e TV, está cansado do emprego, entra em uma crise existencial e passa por transformações radicais.",True
Guard Dog & Bill Plympton no Brasil,2025-04-25 05:00:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Rumo,2025-04-25 05:05:00,1440.0,Documentary / 2021,"Combinando entrevistas, animações e imagens de arquivo, o filme resgata a trajetória do grupo Rumo, considerado um dos principais nomes da chamada Vanguarda Paulista surgida nos anos 1980.",True
Rumo,2025-04-26 05:05:00,80.0,Documentary / 2021,"Combinando entrevistas, animações e imagens de arquivo, o filme resgata a trajetória do grupo Rumo, considerado um dos principais nomes da chamada Vanguarda Paulista surgida nos anos 1980.",True
Mundialito,2025-04-26 06:25:00,75.0,Documentary / 2010,"O documentário investiga as relações entre poder e esporte na concepção da Copa de Ouro, realizada no Uruguai em 1980. A competição reuniu os campeões mundiais de futebol até então.",True
Mussum - Um Filme do Cacildis,2025-04-26 07:40:00,75.0,Documentary / 2019,"A trajetória do músico e comediante Mussum como vocalista do conjunto Os Originais do Samba e depois no cinema e na TV como integrante dos Trapalhões, grupo que revolucionou a forma de fazer humor na teledramaturgia brasileira.",True
Os Paqueras,2025-04-26 08:55:00,95.0,Comedy / 1969,"Sombra e água fresca dão a tônica do cotidiano de Nonô. Aos 25 anos, o rapaz não leva os estudos a sério e só quer ir à praia e paquerar. Mas, quando menos espera, ele conhece a jovem Margareth, filha de seu parceiro na arte da sedução. A paixão pela moça vira a rotina do rapaz de cabeça para baixo.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 10:30:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Edifício Master,2025-04-26 10:35:00,115.0,Documentary / 2002 / 8.3,"O filme registra o cotidiano dos moradores do Edifício Master, em Copacabana, e apresenta um rico painel de histórias. Com 276 apartamentos e 12 andares, o local serve de moradia aos entrevistados, que revelam dramas, solidões, desejos e vaidades.",True
Nossos Passos Seguirão os Seus,2025-04-26 12:30:00,14.0,Documentary / 2023,"Apagado da história oficial do movimento operário brasileiro, Domingos Passos, um aguerrido militante anarquista, sai das sombras em direção à eternidade.",True
Sideral,2025-04-26 12:44:00,16.0,Drama / 2021,"Em Natal, Rio Grande do Norte, o primeiro lançamento de um foguete brasileiro está prestes a acontecer. Um casal mora com os dois filhos perto do centro espacial. Ele é mecânico, enquanto ela é faxineira. Porém, a mulher sonha com outros horizontes.",True
Vizinhos,2025-04-26 13:00:00,30.0,Temporada 1 Episódio 10 - Os Outros,"A chegada de uma família de hippies em um condomínio de luxo transforma a rotina da vizinhança. Incomodados com a situação, os antigos habitantes do prédio não poupam esforços para expulsá-los do local.",False
Maputo Nakuzandza,2025-04-26 13:30:00,75.0,Drama / 2022,"Na capital de Moçambique, jovens saem de uma festa e nos quintais senhoras iniciam o dia. Um homem corre, um turista passeia, um trabalhador apanha o transporte e a rádio Maputo Nakuzandza anuncia o desaparecimento de uma noiva.",True
Choque de Cultura,2025-04-26 14:45:00,15.0,Temporada 6 Episódio 11 - Prêmio Meu Gurgel de Bronze 2023,"Os grandes nomes do transporte alternativo premiam os maiores destaques da sétima arte nacional em categorias como: ""Melhor Cineasta Bilionário Brasileiro"" e ""Melhor Novela"".",False
Angeli - The Killer,2025-04-26 15:00:00,15.0,Temporada 2 Episódio 23 - Escola e os Cabeças de Nabo,Angeli aprofunda algumas questões relacionadas à vida sexual e relembra o temor do desconhecido com o surgimento da Aids.,False
Guard Dog & Bill Plympton no Brasil,2025-04-26 15:15:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Zé,2025-04-26 15:20:00,125.0,Drama / 2024,"Zé é um dos líderes do movimento estudantil contrário à ditadura civil-militar brasileira. Dirigente da Ação Popular Marxista-Leninista, ele é um jovem idealista repleto de sonhos que precisa continuar sua luta na clandestinidade. Em sua árdua jornada, Zé enfrenta uma vida de privações, fugas e poucos recursos.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 17:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Maria - Ninguém Sabe Quem Sou Eu,2025-04-26 17:30:00,105.0,Documentary / 2022,"Em um depoimento inédito e exclusivo gravado no teatro do Hotel Copacabana Palace entrecortado por imagens de arquivo, a cantora Maria Bethânia, que completou 55 anos de carreira em 2020, faz um passeio por sua trajetória.",True
Amores Possíveis,2025-04-26 19:15:00,100.0,Romantic comedy / 2001,"Carlos e Júlia combinam de ir ao cinema, mas ela acaba não aparecendo. A partir daí, se desenrolam três histórias diferentes sobre os acontecimentos que poderiam vir em seguida, em três versões para um mesmo caso de amor.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 20:55:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Lama dos Dias,2025-04-26 21:00:00,36.0,Temporada 2 Episódio 8 - Contatos Imediatos,A série resgata o início do movimento manguebeat e remonta a cena cultural de Recife dos anos 1990.,False
Lama dos Dias,2025-04-26 21:36:00,36.0,Temporada 2 Episódio 9 - Gramática das Turbulências,André tem ciúmes de Olivia após o seu envolvimento com os membros da banda Kara Feya e sua vontade de continuar no Recife; Saudade é convencida a dar uma chance para a amizade com Farmácia.,False
Lama dos Dias,2025-04-26 22:12:00,35.0,Temporada 2 Episódio 10 - Mergulho nas Ondas,Olivia participa de um show da banda Kara Feya; Farmácia está decidido a fazer um filme após suas frustrações artísticas; Domingos garante a saideira no aniversário de Nego Queen.,False
Lama dos Dias,2025-04-26 22:47:00,34.0,Temporada 2 Episódio 11 - Herança Crítica,Farmácia precisa fazer uma visita inesperada para a sua família após uma ligação do pai; Saudade o acompanha e se surpreende com o que encontra.,False
Lama dos Dias,2025-04-26 23:21:00,36.0,Temporada 2 Episódio 12 - Um Lance de Dados,"EZK se esforça para produzir um festival musical, mas a possível não vinda de Boyzinha o atormenta; Farmácia busca a ajuda dos amigos para realizar o seu filme; Adriana tem problemas no trabalho.",False
Lama dos Dias,2025-04-26 23:57:00,-1405.0,Temporada 2 Episódio 13 - Acerto das Contas,Lule e Bill retornam da França para levar o projeto do filme de Farmácia à frente; o ex-casal vive uma relação conturbada após o término; acontece o festival Música de Bordo.,False
Lama dos Dias,2025-04-26 00:32:00,38.0,Temporada 2 Episódio 14 - Ouroboros,"O processo de gravação do filme de Farmácia passa por alguns percalços, entre discussões, atrasos, esquecimentos e acidentes no set.",False
"Bar Esperança, o Último que Fecha",2025-04-26 01:10:00,120.0,Comedy / 1983,"As frustrações, amarguras e alegrias de artistas, intelectuais, boêmios e anônimos nas mesas do Bar Esperança no bairro de Ipanema, Rio de Janeiro. Ana vive com o marido Zeca um casamento cheio de altos e baixos. Atriz e mãe de dois filhos, ela trabalha na televisão: é a personagem mais odiada de uma novela de sucesso. Zeca, escritor e autor de teatro e TV, está cansado do emprego, entra em uma crise existencial e passa por transformações radicais.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 03:10:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
A Suprema Felicidade,2025-04-26 03:15:00,125.0,Drama / 2010 / 5.0,"Adolescente precisa lidar com as frustrações do pai e se aproxima do avô, que o inicia na vida noturna. Logo, ele se apaixona por uma jovem misteriosa, mas o caso não dá certo. A reaproximação com o pai acontece em uma das visitas ao cabaré Eldorado.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 05:20:00,10.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Choque de Cultura,2025-04-26 05:30:00,15.0,Temporada 6 Episódio 12 - Lixo 1,"Devido ao incidente com o ator Murilo Benício, veja uma coletânea de trechos inéditos da temporada.",False
Um Copo de Veneno,2025-04-26 05:45:00,1455.0,Art,A cartunista Laerte Coutinho aborda questões como reconhecimento artístico e efemeridade do sucesso.,False
As Marias,2025-04-27 06:00:00,17.0,Documentary / 2023,"As trigêmeas rompem a barreira do silêncio e da invisibilidade e narram passagens comoventes de suas vidas na pequena cidade de Guia Lopes da Laguna, região próxima da fronteira com o Paraguai, onde foram criadas para obedecerem.",True
Eu Nunca Contei a Ninguém,2025-04-27 06:17:00,11.0,Children / 2022,"Luca, de 5 anos, é levado às pressas ao hospital para se despedir do avô no leito de morte. Durante a viagem, o garoto se questiona sobre como adultos sempre escondem coisas das crianças, já que seu avô sempre lhe dizia a verdade. No hospital o menino lhe pergunta sobre a morte e para onde todos vão depois dessa vida. Ali, pela primeira e última vez, seu avô lhe conta a mais triste e bela de todas as mentiras.",True
Fantasma Neon,2025-04-27 06:28:00,20.0,Musical / 2021,João é um entregador de aplicativo que sonha em ter uma moto para conhecer o Brasil.,True
Bá,2025-04-27 06:48:00,14.0,Drama / 2015,O pequeno Bruno é obrigado a lidar com as mudanças que ocorrem em sua vida quando sua avo? e? trazida para morar em sua casa.,True
Remendo,2025-04-27 07:02:00,21.0,Drama / 2023,"Zé é um homem negro de meia-idade que tem uma oficina de eletrodomésticos na periferia e está em busca de amor. Enquanto uma nova inquilina chega ao prédio de sua mãe, ele recorre a divindades para tentar resolver seus problemas amorosos e sua autoestima, enfrentando os traumas invisíveis do colonialismo para encontrar um novo tipo de liberdade.",True
4 Bilhões de Infinitos,2025-04-27 07:23:00,14.0,Drama / 2020,"Após a morte do pai, uma família vive com a energia de casa cortada. Enquanto a mãe trabalha, seus filhos ficam em casa e conversam sobre ter esperança.",True
Ainda Restarão Robôs nas Ruas do Interior Profundo,2025-04-27 07:37:00,15.0,Drama / 2022,"Na periferia do interior profundo brasileiro, Luquinha tenta recuperar sua égua enquanto convive com o crime e o barulho ensurdecedor de uma cidade conservadora.",True
Partido Alto,2025-04-27 07:52:00,22.0,Documentary / 1982,"Com raízes na batucada baiana, o Partido Alto é uma forma de comunhão, reunindo sambistas em qualquer lugar e hora, pelo simples prazer de se divertir.",True
Ouro para o Bem do Brasil,2025-04-27 08:14:00,18.0,Documentary / 2020,"Após o golpe militar, o empresário Assis Chateaubriand cria a campanha ""Ouro para o bem do Brasil"", por meio da qual convidava a população brasileira a ajudar a acabar com a dívida externa do país.",True
Egos,2025-04-27 08:32:00,10.0,2023,"Com um ator que não consegue atuar e uma equipe insatisfeita, um diretor de cinema tenta criar uma cena emocionante para seu filme, mas os egos envolvidos apresentam verdadeiros obstáculos.",False
Inabitável,2025-04-27 08:42:00,18.0,Drama / 2020 / 4.0,"Marilene procura por sua filha Roberta, uma mulher trans que esta desaparecida. Enquanto corre contra o tempo, ela descobre uma esperança para o futuro.",True
Cinejornal,2025-04-27 09:00:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Cinejornal,2025-04-27 09:15:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Maputo Nakuzandza,2025-04-27 09:30:00,75.0,Drama / 2022,"Na capital de Moçambique, jovens saem de uma festa e nos quintais senhoras iniciam o dia. Um homem corre, um turista passeia, um trabalhador apanha o transporte e a rádio Maputo Nakuzandza anuncia o desaparecimento de uma noiva.",True
Gonzaga - De Pai pra Filho,2025-04-27 10:45:00,125.0,Biography / 2012 / 7.3,"A biografia de Luiz Gonzaga, o Rei do Baião. Desde a sua origem no sertão do Nordeste, passando pelo seu estrelato, até a complicada relação com seu filho Gonzaguinha, o filme busca contar a trajetória de vida de uma lenda da música brasileira.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 12:50:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Carmen Miranda: Bananas Is My Business,2025-04-27 12:55:00,90.0,Documentary / 1995 / 7.8,"O filme explora a vida de Carmem Miranda. Depois de conquistar fama no Rio de Janeiro, a Pequena Notável é importada pela Broadway no final da década de 1930. Apesar de sua estrela continuar a brilhar, a cantora também vira tema de controvérsia.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 14:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Cinejornal,2025-04-27 14:30:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Premios Platino del Cine Iberoamericano 2019,2025-04-27 14:45:00,185.0,Special,"Transmissão da edição de 2019 dos ""Premios Platino del Cine Iberoamericano"".",False
Guard Dog & Bill Plympton no Brasil,2025-04-27 17:50:00,10.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Malu,2025-04-27 18:00:00,105.0,Drama / 2024 / 7.4,Malu é uma atriz desempregada que vive das memórias de seu passado glorioso e divide uma casa em uma favela do Rio de Janeiro com sua mãe conservadora. Ela também tem um relacionamento conturbado com sua filha.,True
Bizarros Peixes das Fossas Abissais,2025-04-27 19:45:00,75.0,Fantasy / 2023,"Uma mulher com esdrúxulos superpoderes, uma tartaruga com transtorno obsessivo-compulsivo e uma nuvem com incontinência pluviométrica participam de uma insólita jornada até as profundezas do oceano.",True
"Raoni, uma Amizade Improvável",2025-04-27 21:00:00,90.0,Documentary / 2023,"Homenagem à luta do cacique Raoni, no Brasil e no mundo, pela preservação dos territórios indígenas, de sua cultura e da Amazônia.",True
Neville D'Almeida - Cronista da Beleza e do Caos,2025-04-27 22:30:00,-1330.0,Documentary / 2019 / 8.2,"Por meio de entrevistas, imagens raras de arquivo e um vasto material iconográfico, conheça a vida e o trabalho do cineasta Neville D'Almeida, desde o Cinema Marginal até o presente. Responsável por grandes sucessos como ""A Dama da Lotação"" e ""As Sete Gatinhas"" e premiado em inúmeros festivais, Neville ainda assim teve muitos problemas com a censura durante o regime militar e também com o que ele chama de ""ditadura dos editais"".",True
A Suprema Felicidade,2025-04-27 00:20:00,125.0,Drama / 2010 / 5.0,"Adolescente precisa lidar com as frustrações do pai e se aproxima do avô, que o inicia na vida noturna. Logo, ele se apaixona por uma jovem misteriosa, mas o caso não dá certo. A reaproximação com o pai acontece em uma das visitas ao cabaré Eldorado.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 02:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Tentação na Cama,2025-04-27 02:30:00,85.0,Erotic / 1984 / 5.2,"Roberto Ramos é um empresário bem sucedido, mas solitário. Sua ex-mulher, Julia, e Fernando querem uma chave que Roberto possui para abrir um cofre, no qual está uma agenda com informações comprometedoras, escrituras de propriedades e dólares. A dupla faz de tudo para conseguir a informação de onde o objeto está escondido, o que envolve mortes, prostitutas e até um sequestro.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 03:55:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Vizinhos,2025-04-27 04:00:00,30.0,Temporada 1 Episódio 10 - Os Outros,"A chegada de uma família de hippies em um condomínio de luxo transforma a rotina da vizinhança. Incomodados com a situação, os antigos habitantes do prédio não poupam esforços para expulsá-los do local.",False
Bonde,2025-04-27 04:30:00,19.0,Drama / 2019,Três jovens negros da favela de Heliópolis saem em busca de refúgio na vida noturna LGBT+ do centro da cidade de São Paulo.,True
Os Mutantes,2025-04-27 04:49:00,11.0,Drama / 1970,"Uma brincadeira mutante improvisada por Arnaldo Batista, Sérgio Dias e Rita Lee, Os Mutantes, em um dia único pelas ruas de São Paulo.",True
Jards,2025-04-27 05:00:00,,Documentary / 2013,"A vida e a obra do cantor, músico e ator Jards Macalé é celebrada neste documentário. O artista carioca cresceu rodeado de música, estudou compositores eruditos, mas sempre representou a música popular brasileira. Conheça também o processo criativo do último álbum do autor de canções como ""Vapor Barato"", ""Gotham City"" e ""Movimento dos Barcos"" e sua destreza com diversos instrumentos musicais.",True
